Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
USA,https://open.spotify.com/track/0nYvjcSlCgjcwogQAwIwNp,425.4,lovin on you,Luke Combs,album,contemporary country,3747160,FALSE,What You See Is What You Get,43777,4,18,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,194867,4,country,372,1,54,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7uoMPWQIGU8wwrPrc94x1m,28,beast mode,A Boogie Wit da Hoodie - PnB Rock - YoungBoy Never Broke Again,single,melodic rap,5184928,TRUE,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),42985,1,1,0.611,0.478,0,-5.839,1,0.107,0.035,0,0.107,0.138,172.076,258158,4,rap,1164,1,187,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2lef7yeg5qkPNt0ptulqfW,130.65,lost in translation,Logic,album,conscious hip hop,5004777,TRUE,Confessions of a Dangerous Mind,43595,16,16,0.569,0.791,2,-4.128,1,0.364,0.553,0.00000655,0.102,0.367,156.947,289720,4,hip hop,554,1,84,0,0,english speaking and nordic
USA,https://open.spotify.com/track/54Sc7mZQ1RM03STpk4SfaA,621.95,helpless,Phillipa Soo - Original Broadway Cast of Hamilton,album,hollywood,36975,FALSE,Hamilton (Original Broadway Cast Recording),42272,10,46,0.688,0.491,5,-7.494,1,0.269,0.334,0,0.0914,0.737,79.009,249771,4,else,1868,1,98,0,0,english speaking and nordic
USA,https://open.spotify.com/track/62itulOgU4flQFuI7f7JF8,79.2,rambo,Bryson Tiller - The Weeknd,album,kentucky hip hop,4447390,TRUE,T R A P S O U L (Deluxe),44099,17,18,0.508,0.686,10,-6.994,0,0.136,0.228,0,0.102,0.4,181.333,228980,4,hip hop,50,1,102,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7Kac5ZeOc3HAFfbk3yosdp,36.8,smile back,Mac Miller,album,hip hop,5013742,FALSE,Blue Slide Park,40544,6,16,0.509,0.832,11,-6.524,0,0.167,0.000242,0,0.352,0.232,151.354,163760,4,hip hop,3596,1,155,0,0,english speaking and nordic
USA,https://open.spotify.com/track/606F3qdYCXtDVtKN53YsuW,7.2,ill see you in 40,Joji,album,alternative r&b,3586162,TRUE,BALLADS 1,43399,12,12,0.411,0.377,3,-9.553,1,0.0296,0.347,0.765,0.222,0.0321,139.881,253781,4,r&b/soul,750,1,192,0,0,english speaking and nordic
USA,https://open.spotify.com/track/1h9QQ7e222OSr93MRiMqGZ,16.8,grown-up christmas list,Jordan Smith,album,australian talent show,69597,FALSE,'Tis The Season,42671,3,12,0.327,0.223,7,-8.975,0,0.0336,0.932,0,0.192,0.172,109.568,211453,4,else,1469,1,187,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5ouNakSA4Ys0aJvoFBJtXn,31.2,honest,Bazzi,single,pop,3807231,TRUE,Honest,43181,1,1,0.676,0.586,7,-6.271,1,0.063,0.306,0,0.0937,0.45,76.991,176104,4,pop,968,1,162,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2KlDzyTJVmOlH1sVTuPcSF,172,make love,Gucci Mane - Nicki Minaj,single,atl hip hop,3520064,TRUE,Make Love,42790,1,1,0.971,0.548,11,-6.82,1,0.154,0.00529,0.00155,0.11,0.183,129.994,302057,4,hip hop,1356,1,152,0,0,english speaking and nordic
USA,https://open.spotify.com/track/6dnrppGRbt8fie18Lcd9Dd,344.8,b.i.d,Tory Lanez,album,canadian hip hop,3310268,TRUE,MEMORIES DON'T DIE,43161,9,18,0.767,0.689,10,-5.573,0,0.0852,0.103,0,0.0786,0.555,154.957,164133,4,hip hop,988,1,112,0,0,english speaking and nordic
